Sexo,Casado,Edad,Fumador,Trabajo,Hijos,Localidad,Telefono Casa,Telefono Celular,Correo Electronico,IMSS,Tipo de Sangre,Egreso Preparatoria,Preparotoria,Promedio Preparatoria,Certificado de Conducta,Situación,Periodo,Creditos,Materias Aprobadas,Materias Cursadas
1,No,18.0,No,No,0.0,MAZATLÁN,Si,No,No,Si,O+,2005.0,6.0,7.99,REGULAR,4.0,6.0,197.0,41.0,47.0
2,No,18.0,No,Si,0.0,MAZATLÁN,Si,No,Si,Si,A+,2005.0,3.0,8.72,MALO,5.0,10.0,400.0,69.0,69.0
2,Si,19.0,No,Si,2.0,LOS MOCHIS,No,Si,Si,No,A-,2001.0,3.0,7.69,BUENO,2.0,10.0,277.0,52.0,53.0
1,Si,18.0,No,No,0.0,GUASAVE,Si,Si,Si,Si,A+,2006.0,1.0,8.33,REGULAR,5.0,10.0,400.0,69.0,69.0
M,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,No,Si,O+,2006.0,2.0,9.89,BUENO,5.0,10.0,400.0,69.0,69.0
1,No,19.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,A-,2006.0,4.0,8.78,MALO,5.0,10.0,400.0,69.0,69.0
1,Si,25.0,Si,Si,0.0,MAZATLÁN,No,No,Si,No,A+,2003.0,6.0,7.18,MALO,4.0,5.0,139.0,30.0,33.0
1,No,18.0,No,No,0.0,MAZATLÁN,No,Si,Si,No,A+,2006.0,5.0,9.7,MALO,5.0,10.0,400.0,69.0,69.0
2,No,18.0,No,Si,0.0,MAZATLÁN,Si,Si,Si,Si,O-,2005.0,6.0,8.83,BUENO,5.0,10.0,400.0,69.0,69.0
H,No,23.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,3.0,7.76,MALO,2.0,12.0,339.0,65.0,68.0
1,No,19.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2005.0,6.0,9.6,BUENO,5.0,10.0,400.0,69.0,69.0
2,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,5.0,9.24,BUENO,5.0,10.0,400.0,69.0,69.0
2,No,18.0,Si,Si,0.0,MAZATLÁN,Si,Si,No,Si,A+,2005.0,4.0,9.56,BUENO,5.0,14.0,400.0,69.0,69.0
2,No,24.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,1.0,7.63,REGULAR,4.0,9.0,221.0,44.0,47.0
2,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,1.0,8.32,MALO,5.0,10.0,400.0,69.0,69.0
1,No,18.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2000.0,2.0,8.13,BUENO,4.0,0.0,0.0,0.0,0.0
M,No,19.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,3.0,8.03,BUENO,5.0,10.0,400.0,69.0,69.0
1,No,18.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,3.0,7.86,BUENO,4.0,3.0,121.0,25.0,25.0
1,No,18.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,B+,2005.0,1.0,9.15,BUENO,5.0,11.0,400.0,69.0,69.0
2,Si,19.0,Si,Si,2.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,5.0,7.77,MALO,4.0,8.0,202.0,42.0,47.0
H,No,18.91,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2004.0,6.0,7.92,BUENO,4.0,0.0,0.0,0.0,0.0
H,No,18.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,3.0,9.17,REGULAR,5.0,10.0,400.0,69.0,69.0
2,No,19.0,Si,Si,0.0,MAZATLÁN,Si,Si,Si,Si,B+,2006.0,1.0,9.68,MALO,5.0,10.0,400.0,69.0,69.0
1,Si,18.0,No,Si,2.0,MAZATLÁN,Si,Si,Si,Si,A+,2006.0,1.0,9.91,REGULAR,5.0,10.0,400.0,69.0,69.0
2,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,1.0,7.45,MALO,5.0,10.0,400.0,69.0,69.0
2,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,3.0,7.43,BUENO,4.0,1.0,40.0,9.0,9.0
M,No,19.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,1.0,9.57,REGULAR,5.0,10.0,400.0,69.0,69.0
2,No,18.0,Si,Si,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,3.0,9.89,MALO,5.0,10.0,400.0,69.0,69.0
