Sexo,Casado,Edad,Fumador,Trabajo,Hijos,Localidad,Telefono Casa,Telefono Celular,Correo Electronico,IMSS,Tipo de Sangre,Egreso Preparatoria,Preparotoria,Promedio Preparatoria,Certificado de Conducta,Situación,Periodo,Creditos,Materias Aprobadas,Materias Cursadas
2,No,19,No,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2006,1,8.3,BUENO,5,10,400,69,69
2,No,18,Si,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2006,1,9,BUENO,5,10,400,69,69
2,No,18,No,Si,0,MAZATLÁN,Si,Si,Si,Si,A+,2006,3,9.69,MALO,5,10,400,69,69
1,No,18,Si,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2006,1,9.23,BUENO,5,10,400,69,69
2,No,19,No,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2006,1,9.94,BUENO,5,10,400,69,69
2,Si,18,No,No,1,MAZATLÁN,Si,Si,Si,Si,A+,2006,5,8.22,MALO,5,10,400,69,69
1,No,18,No,Si,0,MAZATLÁN,Si,Si,Si,Si,A+,2006,1,9.88,BUENO,5,10,400,69,69
2,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2006,6,9.26,BUENO,5,10,400,69,69
2,No,18,No,No,0,CONCORDIA,Si,Si,Si,Si,A+,2006,1,9.94,BUENO,5,10,400,69,69
1,No,18,No,No,0,CONCORDIA,Si,Si,Si,Si,A+,2006,5,8.2,BUENO,5,10,400,69,69
2,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2006,1,8.47,BUENO,5,10,400,69,69
2,No,18,Si,No,0,VILLA UNIÓN,Si,Si,Si,Si,O+,2006,6,9.04,BUENO,5,10,400,69,69
1,No,18,No,No,0,ESCUINAPA,Si,Si,Si,Si,A+,2006,1,9.27,BUENO,5,10,400,69,69
1,No,18,Si,Si,0,MAZATLÁN,Si,Si,Si,Si,O+,2006,3,8.35,REGULAR,5,10,400,69,69
1,No,19,Si,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2006,1,8.68,REGULAR,5,10,400,69,69
1,No,18,Si,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2006,5,9.41,BUENO,5,10,400,69,69
2,No,19,No,No,0,VILLA UNIÓN,Si,Si,Si,No,A+,2006,2,9.14,BUENO,5,10,400,69,69
2,No,24,Si,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2005,3,7.74,BUENO,4,4,69,15,17
1,No,18,Si,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2006,1,9.55,BUENO,5,11,400,69,69
2,No,18,Si,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2006,3,9.92,BUENO,5,10,400,69,69
2,No,18,Si,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2006,3,9.03,MALO,5,10,400,69,69
1,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2006,1,7.9,BUENO,5,12,400,78,78
1,No,19,Si,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,3,8.17,BUENO,5,12,400,78,78
1,No,18,Si,Si,0,MAZATLÁN,Si,Si,Si,Si,B+,2006,2,9.4,MALO,5,11,400,78,78
1,No,18,No,Si,0,MAZATLÁN,Si,Si,Si,Si,O+,2004,4,9.2,MALO,4,9,215,47,52
2,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,5,7.95,MALO,4,8,186,40,43
1,Si,19,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2002,2,7.77,BUENO,4,0,0,0,0
2,No,25,No,No,1,MAZATLÁN,Si,Si,No,Si,A+,2001,1,7.71,BUENO,4,12,350,75,78
1,No,18,Si,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2005,1,9.02,BUENO,5,10,400,78,78
2,No,18,No,No,0,EL ROSARIO,Si,Si,Si,Si,O+,2005,1,8.83,BUENO,5,10,400,78,78
1,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,3,8.84,BUENO,5,10,400,78,78
1,No,18,No,No,0,LOS MOCHIS,Si,Si,Si,Si,O+,2005,3,7.3,REGULAR,4,10,221,49,58
2,No,19,Si,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,3,8.91,REGULAR,5,12,400,78,78
2,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2005,4,9.26,MALO,5,12,400,78,78
1,No,18,No,Si,0,MAZATLÁN,Si,Si,Si,Si,B+,2006,1,8.16,REGULAR,5,12,400,78,78
1,No,18,No,Si,0,MAZATLÁN,Si,Si,Si,No,O+,2004,3,9.34,REGULAR,4,4,128,30,34
1,No,18,No,No,0,MAZATLÁN,Si,Si,No,Si,A+,2006,3,8.69,REGULAR,5,11,400,78,78
2,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2006,1,9.4,MALO,5,11,400,78,78
1,Si,18,No,No,3,CONCORDIA,Si,Si,No,Si,O+,2005,3,7.3,MALO,4,4,105,24,27
1,No,19,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2006,3,8.99,BUENO,5,10,400,78,78
1,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,B+,2000,4,7.69,REGULAR,4,0,0,0,0
1,No,19,No,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2005,1,8.77,BUENO,5,10,400,78,78
1,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2006,2,8.97,MALO,5,10,400,78,78
2,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2005,3,8.47,BUENO,5,14,400,78,78
